RegistrationNumber,Make,Model,MakeYear,Body,Transmission,Fuel,Trim,Mileage,DTCListingPrice,NumPaintedParts,NumReplacedParts
34PJN64,BMW,1 Serisi,2012,Hatchback,Otomatik,Benzin,116i Comfort 136HP,66612,823000,2,0
34SY4630,Volkswagen,Polo,2017,Hatchback,Manuel,Benzin,1.2 Tsi Bmt Comfortline 90HP,149858,680000,0,0
37AJR400,Ford,Focus,2018,Sedan,Otomatik,Dizel,1.5 Tdci Ecoblue Trend X 120HP,109123,930000,0,0
34MSS44,Opel,Corsa,2021,Hatchback,Otomatik,Benzin,1.2 Turbo Elegance 100HP,15000,893000,0,0
07AUC700,Nissan,Qashqai,2014,SUV,Otomatik,Dizel,1.6 Dci Start&Stop Tekna Sky Pack I-Key X-tronic 130HP,99930,917000,7,2
06EE7746,Skoda,Fabia,2017,Hatchback,Otomatik,Benzin,1.2 Tsi Greentec Ambition Dsg 110HP,78369,689000,1,1
06AFT677,Volkswagen,Golf,2017,Hatchback,Manuel,Dizel,1.6 Tdi Bmt Comfortline 115HP,93870,857000,0,1
34AFV006,Fiat,Egea,2017,Hatchback,Manuel,Benzin,1.4 16v Fire Urban Plus 95HP,65000,605000,3,0
34VL0437,Opel,Corsa,2012,Hatchback,Otomatik,Benzin,1.4i Twinport Essentia 100HP,115371,494000,3,0
34EZK765,Peugeot,301,2017,Sedan,Manuel,Dizel,1.6 Hdi Active 92HP Facelift,110361,522000,1,2
34BPY373,Honda,Civic,2018,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Executive 125HP,17000,1069000,0,0
34FP6067,Nissan,Micra,2012,Hatchback,Otomatik,Benzin,1.2 Platinum 80HP,16500,718000,0,0
35BNP900,Skoda,Scala,2020,Hatchback,Otomatik,Benzin,1.0 Tsi Premium Dsg 115HP,27671,1085000,0,0
47ALE067,Peugeot,3008,2022,SUV,Otomatik,Dizel,1.5 Bluehdi Active Prime Eat8 130HP,28559,1568000,0,0
